MAD,MAPE,RMSE,State,Test Type
206.4074025907213,27.371220599164246,254.82708570220504,MG,yhat obitosAcumulado
209.74921761750943,27.6238847916258,259.7804218436745,MG,yhat_lower obitosAcumulado
204.3033873509913,27.349396670133785,250.213950013456,MG,yhat_upper obitosAcumulado
8608.308293879589,23.030011268044078,10346.03080089585,ES,yhat casosAcumulado
8753.689443844229,23.184337618298308,10601.782880646546,ES,yhat_lower casosAcumulado
8452.515342763936,22.847106850385725,10125.850675086227,ES,yhat_upper casosAcumulado
273.58417498386393,20.194493511030394,318.60728136368965,ES,yhat obitosAcumulado
271.3933820511528,19.85306159962165,317.4933870451998,ES,yhat_lower obitosAcumulado
275.91748871671217,20.525501398696463,319.6797156782957,ES,yhat_upper obitosAcumulado
17590.186711801318,18.712334137432446,20403.739622113968,RJ,yhat casosAcumulado
17101.154813722846,18.062552480430295,19798.152522361634,RJ,yhat_lower casosAcumulado
18160.70872386611,19.447449870662034,21098.251820645597,RJ,yhat_upper casosAcumulado
1382.931819576122,16.173221258762982,1634.1972792378413,RJ,yhat obitosAcumulado
1330.8538176427714,15.484468444255736,1560.4200169947735,RJ,yhat_lower obitosAcumulado
1437.8798511947389,16.8944962679716,1715.2324954256596,RJ,yhat_upper obitosAcumulado
46276.91706231155,20.072471883581684,55039.77018287899,SP,yhat casosAcumulado
45947.26438435548,19.759012308422314,55029.1708928888,SP,yhat_lower casosAcumulado
46516.7787974489,20.34101150345031,55161.547876299235,SP,yhat_upper casosAcumulado
1926.3600143509293,15.216517514972255,2257.214641214044,SP,yhat obitosAcumulado
1887.8399385588484,14.817550779694663,2221.8803121739825,SP,yhat_lower obitosAcumulado
1960.6280986370755,15.577613191785966,2295.885618011235,SP,yhat_upper obitosAcumulado
5315.198220976528,31.801111447289255,6584.867981806727,PR,yhat casosAcumulado
5399.620404773353,32.065131745565346,6708.83562612823,PR,yhat_lower casosAcumulado
5240.868947930799,31.62592354722663,6467.710170717211,PR,yhat_upper casosAcumulado
145.1420212987797,28.06320395117934,177.98058590060896,PR,yhat obitosAcumulado
149.074738772349,28.71800303757079,182.95412877661354,PR,yhat_lower obitosAcumulado
141.05104411478987,27.378232555443287,173.12495382002535,PR,yhat_upper obitosAcumulado
4831.730201768507,24.443905348764304,5891.034809696978,SC,yhat casosAcumulado
4810.159923456139,24.10504218628805,5909.645790463073,SC,yhat_lower casosAcumulado
4860.596178626834,24.82530925599551,5887.320857302019,SC,yhat_upper casosAcumulado
53.9294973093532,20.383167798895826,64.59439539714504,SC,yhat obitosAcumulado
53.43241740462031,19.98840437823455,64.70041041453204,SC,yhat_lower obitosAcumulado
54.768787811356034,20.917077076743357,64.74641412257775,SC,yhat_upper obitosAcumulado
4779.747647678355,22.871824058111123,5775.871155296487,RS,yhat casosAcumulado
4762.9811588515095,22.5743090409138,5797.009992699598,RS,yhat_lower casosAcumulado
4802.965936352912,23.21629661503566,5776.31461999087,RS,yhat_upper casosAcumulado
100.40582880936415,20.693765798542472,122.9817413366379,RS,yhat obitosAcumulado
101.20648922451733,20.70970225154029,124.57001871384996,RS,yhat_lower obitosAcumulado
99.91384635714441,20.753596808206392,121.78567490154742,RS,yhat_upper obitosAcumulado
2035.6527010475725,32.99317518483157,2542.964452059543,MS,yhat casosAcumulado
2079.036309083156,33.56103513618335,2592.9574251246213,MS,yhat_lower casosAcumulado
2005.1700898624276,32.74864875656053,2494.6569009904642,MS,yhat_upper casosAcumulado
22.224364783926376,38.769516246546424,27.291557744677764,MS,yhat obitosAcumulado
23.148335344775575,40.77956746218003,28.037502248730558,MS,yhat_lower obitosAcumulado
21.362963342551094,36.99448732836571,26.53230318313272,MS,yhat_upper obitosAcumulado
4117.716114712253,35.9381304182464,5166.588378574041,MT,yhat casosAcumulado
4182.376902443069,36.17812935747975,5268.457890871194,MT,yhat_lower casosAcumulado
4051.385862074426,35.6782890273424,5068.860558362687,MT,yhat_upper casosAcumulado
194.29725665570552,44.00185479568987,239.5030707719719,MT,yhat obitosAcumulado
204.34410261523735,46.72841704817859,248.68198648879567,MT,yhat_lower obitosAcumulado
186.15767419589451,42.11841421841696,230.67617676877097,MT,yhat_upper obitosAcumulado
7132.587480970551,39.59513015478976,8598.77036065635,GO,yhat casosAcumulado
7315.015247032944,40.51026146462132,8780.86463584403,GO,yhat_lower casosAcumulado
6975.301041832705,38.88591247126037,8426.91881435701,GO,yhat_upper casosAcumulado
99.1593528728503,27.649328783817552,124.92515368914755,GO,yhat obitosAcumulado
100.40611769263471,27.791541806396413,127.05495629604691,GO,yhat_lower obitosAcumulado
98.23311701367538,27.637264834620336,122.8663585051546,GO,yhat_upper obitosAcumulado
10720.206911221921,29.045079154417724,13121.009452844539,DF,yhat casosAcumulado
11001.86552194522,29.51136586844615,13521.62667145942,DF,yhat_lower casosAcumulado
10537.000373020397,28.938606680339053,12767.866446203077,DF,yhat_upper casosAcumulado
124.3262168543043,26.28535874369532,151.6163204735193,DF,yhat obitosAcumulado
125.99475859179742,26.434254109830935,154.2052951879717,DF,yhat_lower obitosAcumulado
123.38440097083313,26.337835829301508,149.12212885709837,DF,yhat_upper obitosAcumulado
236176.58108283964,21.022338019645925,278975.2954548742,BRAZIL,yhat casosAcumulado
233495.86333918263,20.607872595288875,277234.0855278448,BRAZIL,yhat_lower casosAcumulado
240185.1846721766,21.563865231499236,281916.9112155426,BRAZIL,yhat_upper casosAcumulado
8050.474338852236,15.966851627720107,9347.364857383598,BRAZIL,yhat obitosAcumulado
7777.390588610641,15.337959463559159,9063.281761649627,BRAZIL,yhat_lower obitosAcumulado
8297.182899851427,16.539353807506387,9638.024688916734,BRAZIL,yhat_upper obitosAcumulado
